,,Recensione,Esito
IMDB,352,This may be the only bad film he ever made.  ,0
IMDB,353,So bad...well...it's just bad.  ,0
IMDB,354,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
IMDB,355,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0
IMDB,356,I thought it was bad.  ,0
IMDB,357,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",0
IMDB,358,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0
IMDB,359,The script is a big flawed mess.  ,0
IMDB,360,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,0
IMDB,361,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",0
IMDB,362,The movie is terribly boring in places.  ,0
IMDB,363,The lighting is awful.  ,0
IMDB,364,The film looks cheap and bland.  ,0
IMDB,365,One of the most disappointing aspects is the lack of notable gore.  ,0
IMDB,366,"This convention never worked well in the past, and certainly doesn't work here.  ",0
IMDB,367,The visual effects were AWFUL.  ,0
IMDB,368,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0
IMDB,369,"The ""explosion"" of the Gas tanks at the end was just as awful.  ",0
IMDB,370,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",1
IMDB,371,"Gotta love those close-ups of slimy, drooling teeth!  ",1
IMDB,372,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",0
IMDB,373,Not recommended.  ,0
IMDB,374,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",0
IMDB,375,"Aside from it's terrible lead, this film has loads of other debits.  ",0
IMDB,376,"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",0
IMDB,377,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0
IMDB,378,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1
IMDB,379,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0
IMDB,380,The budget was evidently very limited.  ,0
IMDB,381,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0
IMDB,382,"However, here there was no decent acting, action or location work to balance things up.  ",0
IMDB,383,Filmiing was less expansive.  ,0
IMDB,384,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0
IMDB,385,Generally; it just lacked imagination.  ,0
IMDB,386,Not recommended.  ,0
IMDB,387,Is it possible for a movie to get any worse than this?  ,0
IMDB,388,There is no plot here to keep you going in the first place.  ,0
IMDB,389,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0
IMDB,390,"Beware: this is not a trashy cult movie, this is trash -period!  ",0
IMDB,391,I can't believe there's even a sequel to this!  ,0
IMDB,392,Which is precisely why I am giving it such a bad review!  ,0
IMDB,393,"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",1
IMDB,394,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1
IMDB,395,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,1
IMDB,396,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",1
IMDB,397,The characters were all funny and had the peculiarity of not having a true lead character.  ,1
IMDB,398,Every single character was hilarious and deserved to be called a lead.  ,1
IMDB,399,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",0
IMDB,400,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0
IMDB,401,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,1
IMDB,402,There is simply no excuse for something this poorly done.  ,0
IMDB,403,I saw this movie and I thought this is a stupid movie.  ,0
IMDB,404,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,0
IMDB,405,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
IMDB,406,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0
IMDB,407,The story line is just awful!  ,0
IMDB,408,It's just painful!  ,0
IMDB,409,And the accents are absolutely abysmal!  ,0
IMDB,410,There's also enough hypocrisy in this film to make me vomit.  ,0
IMDB,411,Don't waste your time watching this rubbish non-researched film.  ,0
IMDB,412,I believe that Pitch Black was done well.  ,1
IMDB,413,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",1
IMDB,414,Go watch it!  ,1
IMDB,415,Omit watching this.  ,0
IMDB,416,VERY funny!  ,1
IMDB,417,My rating: just 3 out of 10.  ,0
IMDB,418,The characters are interesting and you really care for them.  ,1
IMDB,419,"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",1
IMDB,420,Don't miss it.  ,1
IMDB,421,"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1
IMDB,422,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1
IMDB,423,"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",1
IMDB,424,"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1
IMDB,425,The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,0
IMDB,426,"Regardless, the film fails on most levels.  ",0
IMDB,427,Avoid at all costs.  ,0
IMDB,428,"I saw this film over Christmas, and what a great film it was!  ",1
IMDB,429,I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,1
IMDB,430,His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,1
IMDB,431,"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",1
IMDB,432,But it wasn't until I watched this film that I realised how great he actually was.  ,1
IMDB,433,I'll give this film 10 out of 10!  ,1
IMDB,434,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0
IMDB,435,"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",0
IMDB,436,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1
IMDB,437,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
IMDB,438,Nevertheless yet another wonderful film from the great master's stable.  ,1
IMDB,439,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,1
IMDB,440,Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,1
IMDB,441,"But it is entertaining, nonetheless.  ",1
IMDB,442,It's a campy sort of film that's a joy to watch.  ,1
IMDB,443,There's barely a boring moment in the film and there are plenty of humorous parts.  ,1
IMDB,444,The cast is always entertaining as usual.  ,1
IMDB,445,"Overall, a delight!  ",1
IMDB,446,"This movie is so mind-bendingly awful, it couldn't have even been created.  ",0
IMDB,447,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0
IMDB,448,The least said about the acting the better.  ,0
IMDB,449,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1
IMDB,450,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1
IMDB,451,Nothing short of magnificent photography/cinematography in this film.  ,1
IMDB,452,"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1
IMDB,453,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1
IMDB,454,Excellent performance.  ,1
IMDB,455,There still are good actors around!  ,1
IMDB,456,Also great directing and photography.  ,1
IMDB,457,"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1
IMDB,458,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",1
IMDB,459,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1
IMDB,460,"If you love death and decay, and Shakespears lyrics... this is the one.  ",1
IMDB,461,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1
IMDB,462,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
IMDB,463,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",1
IMDB,464,Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,1
IMDB,465,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",0
IMDB,466,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
IMDB,467,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1
IMDB,468,It is not good.  ,0
IMDB,469,"Speaking of the music, it is unbearably predictably and kitchy.  ",0
IMDB,470,Then the film just dropped the ball.  ,0
IMDB,471,This is a stunning movie.  ,1
IMDB,472,Raw and sublimely moving.  ,1
IMDB,473,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1
IMDB,474,All of the main players are mesmerising.  ,1
IMDB,475,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1
IMDB,476,Julian Fellowes has triumphed again.  ,1
IMDB,477,He's a national treasure.  ,1
IMDB,478,GO AND SEE IT!  ,1
IMDB,479,This is an excellent film.  ,1
IMDB,480,The aerial scenes were well-done.  ,1
IMDB,481,It was also the right balance of war and love.  ,1
IMDB,482,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1
IMDB,483,Kris Kristoffersen is good in this movie and really makes a difference.  ,1
IMDB,484,A good film by a great director!  ,1
IMDB,485,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,1
IMDB,486,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0
IMDB,487,This is just a great movie.  ,1
IMDB,488,10 out of 10 stars.  ,1
IMDB,489,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0
IMDB,490,It's so bad it's actually worth seeing just for that reason.  ,0
IMDB,491,Punishment Park is a brilliant piece of cinema.  ,1
IMDB,492,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",1
IMDB,493,This is one of Peter Watkins most accessible films.  ,1
IMDB,494,I advise you to look out for it.  ,1
IMDB,495,You wont regret it!  ,1
IMDB,496,Highly recommended A+  ,1
IMDB,497,Well... Just if you keep thinking how bad it is.  ,0
IMDB,498,"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",0
IMDB,499,It's a case of 'so bad it is laughable'.  ,0
IMDB,500,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0
IMDB,501,"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",0
IMDB,502,How awful she is!  ,0
IMDB,503,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",0
IMDB,504,"The results, well, are a shame.  ",0
IMDB,505,DELETE this film from your mind!  ,0
IMDB,506,One of the worst shows of all time.  ,0
IMDB,507,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,0
IMDB,508,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0
IMDB,509,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
IMDB,510,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0
IMDB,511,The stories were as unbelievable as the actors.  ,0
IMDB,512,Lame would be the best way to describe it.  ,0
IMDB,513,"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",1
IMDB,514,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,1
IMDB,515,The attractive set used throughout most of the film is an eye-pleasing gem.  ,1
IMDB,516,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0
IMDB,517,"The lines, the cuts, the audio, everything is wrong.  ",0
IMDB,518,You can find better movies at youtube.  ,0
IMDB,519,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0
IMDB,520,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0
IMDB,521,That's how I'd describe this painfully dreary time-waster of a film.  ,0
IMDB,522,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",0
IMDB,523,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",0
IMDB,524,"It's an empty, hollow shell of a movie.  ",0
IMDB,525,"Seriously, it's not worth wasting your, or your kid's time on.  ",0
IMDB,526,"Avoid, avoid, avoid!  ",0
IMDB,527,It will drive you barking mad!  ,0
IMDB,528,The transfers are very good.  ,1
IMDB,529,Very nice and relaxing late night viewing.  ,1
IMDB,530,The movie is full of wonderful dancing (hence the title!  ,1
IMDB,531,") some great music, and terrific scenery.  ",1
IMDB,532,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1
IMDB,533,") a happy, wonderful, feel good ending!  ",1
IMDB,534,"The point is the journey, a journey that touches every member of the family.  ",1
IMDB,535,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
IMDB,536,Nothing new there.  ,0
IMDB,537,That was done in the second movie.  ,0
IMDB,538,The movie has almost no action scenes in it and very little comedy.  ,0
IMDB,539,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0
IMDB,540,What on earth is Irons doing in this film?  ,0
IMDB,541,I just saw this film and I recommend it.  ,1
IMDB,542,"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",1
IMDB,543,"A very good film indeed, about great and unconditional love.  ",1
IMDB,544,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",1
IMDB,545,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1
IMDB,546,"Despite the pans of reviewers, I liked this movie.  ",1
IMDB,547,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",1
IMDB,548,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",1
IMDB,549,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1
IMDB,550,I guess I liked the details of his dysfunction--he was believable.  ,1
IMDB,551,The football scenes at the end were perplexing.  ,0
IMDB,552,But I thought his acting was skilled.  ,1
IMDB,553,Meredith M was better than all right.  ,1
IMDB,554,A very charming film with wonderful sentiment and heart.  ,1
IMDB,555,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,1
IMDB,556,Nine out of ten for a truly lovely film.  ,1
IMDB,557,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,1
IMDB,558,This is one of the best Italian thrillers of the early 70's.  ,1
IMDB,559,A standout scene.  ,1
IMDB,560,This scene is very strong and unpleasant.  ,0
IMDB,561,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",1
IMDB,562,It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1
IMDB,563,The movie was very interesting from beginning to the end.  ,1
IMDB,564,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
IMDB,565,This movie is also revealing.  ,1
IMDB,566,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",1
IMDB,567,And it was boring.  ,0
IMDB,568,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0
IMDB,569,PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,1
IMDB,570,"It's a fresh, subtle, and rather sublime effect.  ",1
IMDB,571,"An Italian reviewer called this ""a small, great film,"" and that's right.  ",1
IMDB,572,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",1
IMDB,573,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",1
IMDB,574,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1
IMDB,575,Also the music by Mark Snow is possibly the best score I've ever heard.  ,1
IMDB,576,You won't forget this movie!  ,1
IMDB,577,Why was this film made?  ,0
IMDB,578,The film has an ultra-cheap look to it.  ,0
IMDB,579,The result is a film that just don't look right.  ,0
IMDB,580,None of them are engaging or exciting.  ,0
IMDB,581,The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,0
IMDB,582,The Foreigner is not worth one second of your time.  ,0
IMDB,583,"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",1
IMDB,584,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,1
IMDB,585,This movie is so awesome!  ,1
IMDB,586,"I loved it, it was really scary.  ",1
IMDB,587,I love the Scream movies and all horror movies and this one ranks way up there.  ,1
IMDB,588,If you want a real scare rent this one!  ,1
IMDB,589,10/10  ,1
IMDB,590,This is an extraordinary film.  ,1
IMDB,591,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1
IMDB,592,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1
IMDB,593,"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",1
IMDB,594,This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,1
IMDB,595,"Predictable, but not a bad watch.  ",1
IMDB,596,It was clear that she had the range and ability to pull off this part.  ,1
IMDB,597,She carries the movie well.  ,1
IMDB,598,Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,1
IMDB,599,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",1
IMDB,600,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",0
IMDB,601,"In fact, this stinker smells like a direct-to-video release.  ",0
IMDB,602,Avoid at ALL costs!  ,0
IMDB,603,Star Trek V The final Frontier is the worst in the series.  ,0
IMDB,604,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0
IMDB,605,The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,0
IMDB,606,The only place good for this film is in the garbage.  ,0
IMDB,607,The worst one of the series.  ,0
IMDB,608,Editing: The editing of this film was phenomenal in my opinion.  ,1
IMDB,609,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1
IMDB,610,Cinematography: The film was shot in an interesting way.  ,1
IMDB,611,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1
IMDB,612,This film offers many delights and surprises.  ,1
IMDB,613,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",1
IMDB,614,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,1
IMDB,615,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1
IMDB,616,But this understated film leaves a lasting impression.  ,1
IMDB,617,The warmth it generates is in contrast to its austere backdrop.  ,1
IMDB,618,You will leave the theater wanting to go out and dance under the stars.  ,1
IMDB,619,"The acting, as you'd expect from this cast, is top notch.  ",1
IMDB,620,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1
IMDB,621,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",1
IMDB,622,Conclusion - I loved it.  ,1
IMDB,623,It's a long time since I was so entertained by a movie.  ,1
IMDB,624,I struggle to find anything bad to say about it.  ,1
IMDB,625,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",1
IMDB,626,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",1
IMDB,627,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1
IMDB,628,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",1
IMDB,629,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1
IMDB,630,Trumbull on I LOVE LUCY).  ,1
IMDB,631,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,1
IMDB,632,See both films if you can.  ,1
IMDB,633,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1
IMDB,634,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1
IMDB,635,Very disappointed and wondered how it could be in the Oscar shortlist.  ,0
IMDB,636,It's very slow.  ,0
IMDB,637,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0
IMDB,638,) Don't waste your time.  ,0
IMDB,639,End of Days is one of the worst big-budget action movies I've ever seen.  ,0
IMDB,640,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0
IMDB,641,This was one of the worst films i have ever seen.  ,0
IMDB,642,I'm still trying to get over how bad it was.  ,0
IMDB,643,This movie is possibly one of the most creative works of horror ever.  ,1
IMDB,644,"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",1
IMDB,645," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",1
IMDB,646,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1
IMDB,647,"Otherwise, don't even waste your time on this.  ",0
IMDB,648,This one just fails to create any real suspense.  ,0
IMDB,649,"As for the killer, don't expect anything original or even remotely frightening.  ",0
IMDB,650,"There is, however, some pretty good acting (at least, for this type of film).  ",1
IMDB,651,I'm so sorry but I really can't recommend it to anyone.  ,0
IMDB,652,"One of the most boring,pointless movies I have ever seen.  ",0
IMDB,653,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0
IMDB,654,Hated it.  ,0
IMDB,655,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0
IMDB,656,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0
IMDB,657,I highly doubt that anyone could ever like this trash.  ,0
IMDB,658,This is not movie-making.  ,0
IMDB,659,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",0
IMDB,660,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",0
